index,searched_keyword,site_domain,result_title,result_date,result_url
149,"""dsbd""",.uk,Thioredoxin domain (IPR013766) - InterPro entry,6 Apr 2013,https://www.ebi.ac.uk/interpro/entry/interpro/IPR013766
150,"""dsbd""",.uk,Modele Hijab,23 Feb 2017,https://www.pinterest.co.uk/pin/731764639445390910/
151,"""dsbd""",.uk,SGN Digital Strategy Action Plan - December 2022,21 Dec 2022,https://www.sgn.co.uk/sites/default/files/media-entities/documents/2022-12/SGN-Digital-Strategy-Action-Plan-1222.pdf
152,"""dsbd""",.uk,Head of Business Development & Impact,13 Dec 2022,https://www.durham.ac.uk/media/durham-university/professional-services/job-vacancies/job-descriptions/Recruitment-Brochure-Head-Business-Development--Impact.pdf
153,"""dsbd""",.uk,About | Capabilities Limited | Security Consultancy,11 Mar 2023,https://www.capabilitieslimited.co.uk/about
154,"""dsbd""",.uk,Despoina Mavridou,27 Jun 2019,https://scholar.google.co.uk/citations?user=URfIa6AAAAAJ&hl=en
155,"""dsbd""",.uk,Isla: Integrating full-scale ISA semantics and axiomatic ...,by A Armstrong,https://www.research.ed.ac.uk/en/publications/isla-integrating-full-scale-isa-semantics-and-axiomatic-concurren
156,"""dsbd""",.uk,Alliance MBS links up with global e-commerce player to ...,18 Nov 2020,https://www.alliancembs.manchester.ac.uk/news/alliance-mbs-links-up-with-global-e-commerce-player-to-prevent-cyber-security-attacks/
157,"""dsbd""",.uk,Music,12 Apr 2024,https://gratefuldudes.co.uk/music/
158,"""dsbd""",.uk,Programme Sessions - ECS September 2024,19 Sept 2024,https://whitehallmedia.co.uk/ecssep2024/programme/
159,"""dsbd""",.uk,Aphra Behn,17 Jul 2023,https://www.psbooks.co.uk/aphra-behn
160,"""dsbd""",.uk,Citramalate: GO Search,22 Oct 2023,https://morfdb0.york.ac.uk/projects/DETOX/citramalate/genome/GCF_000750555.1/go-search?query=GO:0046688
161,"""dsbd""",.uk,pottify - Rob Potter,11 Nov 2023,http://pottify.co.uk/
162,"""dsbd""",.uk,BIC Standard Subject Categories & Qualifiers Version 2.1 ( ...,1 Nov 2010,https://bookisbn.org.uk/wp-content/uploads/sites/118/2019/09/BIC-Code-complete-list-of-categories-version-2.1-November-2010.pdf
163,"""dsbd""",.uk,Dr Robert Atkinson,31 Aug 2023,https://www.strath.ac.uk/staff/atkinsonrobertdr/
164,"""dsbd""",.uk,Global Expo Botswana,15 Dec 2004,https://www.drawnfresh.co.uk/exhibitor/show/679
165,"""dsbd""",.uk,Sabrina Hossain,5 Apr 2022,https://www.kcl.ac.uk/people/sabrina-hossain
166,"""dsbd""",.uk,Maria Bada - School of Biological and Behavioural Sciences,15 Nov 2022,https://www.qmul.ac.uk/sbbs/staff/maria-bada.html
167,"""dsbd""",.uk,Arm | Faculty of Engineering,2 Oct 2021,https://www.imperial.ac.uk/engineering/departments/computing/industry/aci/2021-22/arm/
168,"""dsbd""",.uk,AutoCHERI project addresses cyber security risks in ...,29 Aug 2023,https://csa.catapult.org.uk/uncategorized/autocheri-project-addresses-cyber-security-risks-in-the-automotive-industry/
169,"""dsbd""",.uk,We Are Connected – Are We Protected?,15 Dec 2023,https://petras.cs.ucl.ac.uk/update/we-are-connected-are-we-protected/
170,"""dsbd""",.uk,Towards Secure MicroPython on Morello (WIP),by J Singer,https://www.dcs.gla.ac.uk/~jsinger/pdfs/lctes23.pdf
171,"""dsbd""",.uk,Professor Genevieve Liveley - Our People,6 Aug 2023,https://www.bristol.ac.uk/people/person/Genevieve-Liveley-91d6a263-b385-434b-8bf4-00c82123cee0/
172,"""dsbd""",.uk,Quick Reads,26 Jun 2024,https://startupsmagazine.co.uk/quick-reads?sort_bef_combine=created%20DESC&sort_by=created&sort_order=DESC&page=7
173,"""dsbd""",.uk,First identification of bla producing Escherichia coli from ...,by J Manyahi,https://archive.lstmed.ac.uk/19844/7/jmm001513.pdf
174,"""dsbd""",.uk,"Myths of Modern Individualism Faust, Don Quixote ...",28 Nov 2023,https://www.ebay.co.uk/itm/394819241267
175,"""dsbd""",.uk,La mer Summer at Sea Eau de Toilette 50 ml with Perfume,27 Aug 2023,https://www.amazon.co.uk/mer-Summer-Sea-Toilette-Perfume/dp/B097QZ3G4L
176,"""dsbd""",.uk,VeTSS Problem Book 2024,18 May 2024,https://vetss.org.uk/wp-content/uploads/sites/152/2024/05/VeTSS_Problem_Book_2024.pdf
177,"""dsbd""",.uk,News Archive | ECIT,13 Mar 2023,https://www.qub.ac.uk/ecit/News/archive/
178,"""dsbd""",.uk,Further Reading - Seeking Asylum and Mental Health,15 Mar 2023,https://asylummentalhealth.uk/further-reading/
